Multiplier: 5
Decision_Tree: 18 different tests
Iteration,Impurity,Max_Depth,Max_Bins,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
34.5,entropy,7,64,200,0.9106,0.0004,0.9996,0.0894,0.0005,0.8809,286.877
35.1,entropy,7,128,100,0.9417,0.0004,0.9996,0.0583,0.0005,0.8843,285.696
35.2,entropy,7,128,100,0.9344,0.0004,0.9996,0.0656,0.0005,0.8877,281.759
35.3,entropy,7,128,100,0.935,0.0004,0.9996,0.065,0.0005,0.8911,286.656
35.4,entropy,7,128,100,0.935,0.0004,0.9996,0.065,0.0005,0.8911,282.309
35.5,entropy,7,128,100,0.9339,0.0004,0.9996,0.0661,0.0005,0.8843,280.686
36.1,entropy,7,128,200,0.9344,0.0004,0.9996,0.0656,0.0005,0.8877,301.563
36.2,entropy,7,128,200,0.9262,0.0004,0.9996,0.0738,0.0005,0.8843,307.497
36.3,entropy,7,128,200,0.9262,0.0004,0.9996,0.0738,0.0005,0.8843,411.264
36.4,entropy,7,128,200,0.9339,0.0004,0.9996,0.0661,0.0005,0.8843,306.168
36.5,entropy,7,128,200,0.9344,0.0004,0.9996,0.0656,0.0005,0.8877,304.803
#############################
Logistic_Regression: 54 different tests
Iteration,Max_Iter,Reg_Param,Elastic_Net_Param,Aggregation_Depth,Sensitivity,Fallout,Specificity,Miss_rate,Test_Error,AUC,Exec_Time
1.1,50,0.1,0.6,2,0.0,0.0017,0.9983,0.0,0.0017,0.5,210.758
1.2,50,0.1,0.6,2,0.0,0.0017,0.9983,0.0,0.0017,0.5,159.594
1.3,50,0.1,0.6,2,0.0,0.0017,0.9983,0.0,0.0017,0.5,106.451
1.4,50,0.1,0.6,2,0.0,0.0017,0.9983,0.0,0.0017,0.5,205.757
1.5,50,0.1,0.6,2,0.0,0.0017,0.9983,0.0,0.0017,0.5,52.843
2.1,50,0.1,0.6,3,0.0,0.0017,0.9983,0.0,0.0017,0.5,243.398
2.2,50,0.1,0.6,3,0.0,0.0017,0.9983,0.0,0.0017,0.5,34.789
2.3,50,0.1,0.6,3,0.0,0.0017,0.9983,0.0,0.0017,0.5,230.882
